PID,Name,Priority,Burst Time,Arrival Time,Waiting Time,Response Time
1,(syste,20,1927,0,0,1927
2,(kthre,20,5,0,1927,1932
3,(rcu_g,0,0,0,1932,1932
4,(rcu_p,0,0,0,1932,1932
5,(slub_,0,0,0,1932,1932
6,(netns,0,0,0,1932,1932
10,(mm_pe,0,0,0,1932,1932
11,(rcu_t,20,0,0,1932,1932
12,(rcu_t,20,0,0,1932,1932
13,(rcu_t,20,0,0,1932,1932
14,(ksoft,20,1847,0,1932,3779
15,(rcu_p,20,2609,0,3779,6388
16,(migra,-100,438,0,6388,6826
17,(idle_,-51,0,0,6826,6826
19,(cpuhp,20,0,0,6826,6826
20,(kdevt,20,1,0,6826,6827
21,(inet_,0,0,0,6827,6827
22,(kaudi,20,1,0,6827,6828
23,(khung,20,42,0,6828,6870
24,(oom_r,20,0,0,6870,6870
27,(write,0,0,0,6870,6870
28,(kcomp,20,1517,0,6870,8387
29,(ksmd),25,0,0,8387,8387
30,(khuge,39,0,0,8387,8387
31,(kinte,0,0,0,8387,8387
32,(kbloc,0,0,0,8387,8387
33,(blkcg,0,0,0,8387,8387
34,(tpm_d,0,0,0,8387,8387
35,(ata_s,0,0,0,8387,8387
36,(md),0,0,0,8387,8387
37,(edac-,0,0,0,8387,8387
38,(devfr,0,0,0,8387,8387
39,(watch,-51,0,0,8387,8387
40,(kwork,0,182,0,8387,8569
41,(kswap,20,433,0,8569,9002
42,(ecryp,20,0,0,9002,9002
43,(kthro,0,0,0,9002,9002
44,(acpi_,0,0,0,9002,9002
45,(scsi_,20,33,0,9002,9035
46,(scsi_,0,0,0,9035,9035
47,(scsi_,20,11,0,9035,9046
48,(scsi_,0,0,0,9046,9046
53,(mld),0,0,0,9046,9046
54,(ipv6_,0,0,0,9046,9046
61,(kstrp,0,0,0,9046,9046
63,(zswap,0,0,0,9046,9046
64,(kwork,0,0,0,9046,9046
68,(charg,0,0,0,9046,9046
107,(scsi_,20,6,0,9046,9052
108,(scsi_,0,0,0,9052,9052
118,(kwork,0,3535,0,9052,12587
139,(jbd2/,20,285,0,12587,12872
140,(ext4-,0,0,0,12872,12872
179,(syste,19,758,0,12872,13630
210,(irq/1,-51,0,0,13630,13630
225,(syste,20,486,0,13630,14116
281,(crypt,0,0,0,14116,14116
504,(syste,20,16424,0,14116,30540
505,(syste,20,482,0,30540,31022
506,(syste,20,147,0,31022,31169
551,(accou,20,76,0,31169,31245
552,(acpid,20,81,0,31245,31326
555,(avahi,20,692,0,31326,32018
556,(cron),20,52,0,32018,32070
557,(dbus-,20,1028,0,32070,33098
558,(Netwo,20,5554,0,33098,38652
565,(netwo,20,255,0,38652,38907
566,(polki,20,1321,0,38907,40228
567,(power,20,28,0,40228,40256
568,(rsysl,20,25,0,40256,40281
570,(snapd,20,813,0,40281,41094
571,(switc,20,31,0,41094,41125
572,(syste,20,326,0,41125,41451
573,(udisk,20,244,0,41451,41695
574,(wpa_s,20,242,0,41695,41937
613,(avahi,20,0,0,41937,41937
658,(cupsd,20,109,0,41937,42046
661,(unatt,20,210,0,42046,42256
667,(Modem,20,135,0,42256,42391
714,(gdm3),20,56,0,42391,42447
765,(cups-,20,53,0,42447,42500
774,(kerne,20,25,0,42500,42525
776,(kerne,20,25,0,42525,42550
866,(rtkit,21,17,0,42550,42567
1002,(upowe,20,61,0,42567,42628
1022,(packa,20,379,0,42628,43007
1180,(color,20,168,0,43007,43175
1249,(gdm-s,20,176,0,43175,43351
1262,(syste,20,696,0,43351,44047
1263,((sd-p,20,0,0,44047,44047
1269,(pipew,9,39,0,44047,44086
1270,(pipew,20,47,0,44086,44133
1271,(pulse,9,296,0,44133,44429
1279,(dbus-,20,529,0,44429,44958
1284,(gvfsd,20,36,0,44958,44994
1289,(gvfsd,20,9,0,44994,45003
1307,(xdg-d,20,20,0,45003,45023
1309,(gnome,20,46,0,45023,45069
1314,(xdg-p,20,7,0,45069,45076
1320,(fuser,20,4,0,45076,45080
1330,(gdm-w,20,7,0,45080,45087
1333,(gnome,20,97,0,45087,45184
1374,(gnome,20,14,0,45184,45198
1394,(gnome,20,118,0,45198,45316
1415,(gnome,20,49727,0,45316,95043
1416,(at-sp,20,21,0,95043,95064
1428,(dbus-,20,27,0,95064,95091
1465,(gnome,20,187,0,95091,95278
1467,(gvfs-,20,115,0,95278,95393
1472,(gvfs-,20,31,0,95393,95424
1485,(evolu,20,206,0,95424,95630
1486,(gvfs-,20,13,0,95630,95643
1490,(gvfs-,20,17,0,95643,95660
1494,(goa-d,20,155,0,95660,95815
1504,(goa-i,20,46,0,95815,95861
1506,(gvfs-,20,18,0,95861,95879
1520,(evolu,20,208,0,95879,96087
1525,(gvfsd,20,59,0,96087,96146
1539,(at-sp,20,19,0,96146,96165
1540,(gjs),20,93,0,96165,96258
1549,(sh),20,4,0,96258,96262
1550,(gsd-a,20,9,0,96262,96271
1556,(gsd-c,20,231,0,96271,96502
1557,(ibus-,20,421,0,96502,96923
1561,(gsd-d,20,47,0,96923,96970
1563,(gsd-h,20,368,0,96970,97338
1564,(gsd-k,20,136,0,97338,97474
1565,(gsd-m,20,219,0,97474,97693
1566,(gsd-p,20,161,0,97693,97854
1575,(gsd-p,20,30,0,97854,97884
1576,(gsd-r,20,14,0,97884,97898
1577,(gsd-s,20,7,0,97898,97905
1578,(gsd-s,20,36,0,97905,97941
1583,(gsd-s,20,16,0,97941,97957
1586,(gsd-s,20,21,0,97957,97978
1587,(gsd-w,20,144,0,97978,98122
1595,(evolu,20,378,0,98122,98500
1597,(dconf,20,22,0,98500,98522
1617,(evolu,20,66,0,98522,98588
1637,(ibus-,20,16,0,98588,98604
1639,(ibus-,20,1178,0,98604,99782
1642,(gsd-d,20,12,0,99782,99794
1660,(ibus-,20,13,0,99794,99807
1669,(gsd-p,20,30,0,99807,99837
1692,(snapd,20,72,0,99837,99909
1795,(snapd,20,282,0,99909,100191
1799,(xdg-d,20,75,0,100191,100266
1804,(ibus-,20,112,0,100266,100378
1809,(snap-,20,4319,0,100378,104697
1812,(xdg-d,20,186,0,104697,104883
1851,(track,39,922,0,104883,105805
1903,(gjs),20,95,0,105805,105900
1939,(gjs),20,907,0,105900,106807
1947,(xdg-d,20,156,0,106807,106963
1991,(gvfsd,20,17,0,106963,106980
2117,(gnome,20,382,0,106980,107362
2119,(seaho,20,299,0,107362,107661
2126,(gnome,20,5164,0,107661,112825
2220,(bash),20,222,0,112825,113047
2658,(updat,20,164,0,113047,113211
4148,(kwork,20,14316,0,113211,127527
4448,(kwork,20,0,0,127527,127527
4449,(kwork,20,1132,0,127527,128659
4471,(kwork,20,379,0,128659,129038
4474,(kwork,20,111,0,129038,129149
4481,(kwork,20,0,0,129149,129149
4482,(kwork,20,0,0,129149,129149
4505,(main),20,9,0,129149,129158

Average Waiting Time: 52659.45
Average Response Time: 53428.25
