PID,Name,Burst Time
3,(pool_,0
4,(kwork,0
5,(kwork,0
6,(kwork,0
7,(kwork,0
10,(kwork,0
13,(kwork,0
14,(rcu_t,0
15,(rcu_t,0
16,(rcu_t,0
19,(rcub/,0
21,(idle_,0
22,(cpuhp,0
23,(cpuhp,0
24,(idle_,0
28,(kwork,0
29,(cpuhp,0
30,(idle_,0
34,(kwork,0
35,(cpuhp,0
36,(idle_,0
40,(kwork,0
41,(cpuhp,0
42,(idle_,0
46,(kwork,0
47,(cpuhp,0
48,(idle_,0
52,(kwork,0
53,(cpuhp,0
54,(idle_,0
58,(kwork,0
59,(cpuhp,0
60,(idle_,0
64,(kwork,0
65,(cpuhp,0
66,(idle_,0
70,(kwork,0
71,(cpuhp,0
72,(idle_,0
76,(kwork,0
77,(cpuhp,0
78,(idle_,0
82,(kwork,0
83,(cpuhp,0
84,(idle_,0
88,(kwork,0
89,(cpuhp,0
90,(idle_,0
94,(kwork,0
95,(cpuhp,0
96,(idle_,0
100,(kwork,0
101,(cpuhp,0
102,(idle_,0
106,(kwork,0
107,(cpuhp,0
108,(idle_,0
112,(kwork,0
114,(kwork,0
115,(kaudi,0
120,(kwork,0
122,(ksmd),0
126,(kwork,0
127,(kwork,0
128,(kwork,0
129,(kwork,0
130,(kwork,0
131,(kwork,0
132,(kwork,0
133,(watch,0
135,(irq/2,0
139,(kwork,0
140,(irq/2,0
141,(irq/2,0
142,(irq/2,0
143,(irq/3,0
144,(irq/3,0
157,(kwork,0
158,(kwork,0
160,(scsi_,0
161,(kwork,0
162,(scsi_,0
163,(kwork,0
164,(scsi_,0
165,(kwork,0
166,(scsi_,0
167,(kwork,0
168,(scsi_,0
169,(kwork,0
170,(scsi_,0
171,(kwork,0
172,(scsi_,0
173,(kwork,0
174,(scsi_,0
175,(kwork,0
183,(kwork,0
185,(kwork,0
193,(kwork,0
194,(kwork,0
195,(kwork,0
196,(kwork,0
197,(irq/2,0
257,(kwork,0
258,(kwork,0
259,(kwork,0
260,(kwork,0
272,(scsi_,0
273,(kwork,0
275,(kwork,0
280,(kwork,0
398,(psimo,0
507,(kwork,0
544,(nv_qu,0
545,(nv_qu,0
602,(UVM,0
603,(UVM,0
604,(UVM,0
616,(nvidi,0
648,(dhcpc,0
649,(dhcpc,0
682,(kwork,0
742,(nvidi,0
923,((sd-p,0
996,(fuser,0
17963,(dhcpc,0
422908,(kwork,0
609661,(psimo,0
712709,(kwork,0
754018,(kwork,0
754020,(kwork,0
754131,(kwork,0
2208225,(ssh-a,0
2208547,(kwork,0
2208587,(kwork,0
2208670,(kwork,0
2208774,(kwork,0
2208837,(kwork,0
2564008,(p11-k,0
2754402,(ssh-a,0
3450803,(kwork,0
3452208,(kwork,0
4034222,(kwork,0
113,(kdevt,1
431522,(chrom,1
444407,(chrom,1
2564029,(bwrap,1
119,(oom_r,2
985,(xdg-p,2
431207,(cat),2
1730628,(QtWeb,2
1070,(dconf,3
431514,(chrom,3
444725,(code),3
647,(dhcpc,5
1174,(obexd,5
1288,(agent,5
1391,(gsett,5
431208,(cat),5
2,(kthre,6
432492,(snap),6
1715024,(QtWeb,6
1149,(pipew,7
604223,(snapd,8
754021,(kwork,8
1713635,(kdein,9
1002,(rtkit,10
857966,(main),10
644,(dhcpc,11
4085010,(java),15
20,(migra,16
737,(sddm),18
2564032,(xdg-d,20
444329,(code),21
444328,(code),22
759279,(kwork,23
432292,(at-sp,28
2564691,(spoti,28
3448810,(brave,28
431555,(brave,29
1730739,(QtWeb,32
2564050,(bwrap,32
431545,(brave,34
3045529,(cppto,38
2564324,(spoti,42
2564582,(spoti,42
2564592,(spoti,43
919,(sddm-,46
117,(khung,48
936,(start,49
695,(run-c,50
2564327,(spoti,51
1714966,(QtWeb,54
1714970,(QtWeb,54
1730574,(QtWeb,54
1730578,(QtWeb,54
444331,(code),56
1428,(mysql,60
1036,(upowe,63
1164,(color,65
1376,(accou,70
579,(syste,79
2564015,(dbus-,81
230,(kwork,82
3016766,(bash),86
214,(kwork,94
134,(kwork,95
242,(kwork,95
243,(kwork,99
240,(kwork,100
244,(kwork,100
216,(kwork,102
250,(kwork,102
2874336,(cppto,102
184,(kwork,103
232,(kwork,105
229,(kwork,107
251,(kwork,108
198,(kwork,109
246,(kwork,110
365,(syste,121
231,(kwork,122
2893409,(bash),132
431601,(brave,137
1422,(akona,155
2563995,(flatp,180
2564751,(p11-k,186
3450700,(kwork,214
826,(cupsd,224
3450692,(kwork,228
980,(xdg-d,233
645,(syste,247
25,(migra,250
37,(migra,251
31,(migra,254
43,(migra,258
73,(migra,258
49,(migra,260
67,(migra,260
55,(migra,262
79,(migra,263
85,(migra,264
61,(migra,265
91,(migra,265
97,(migra,269
103,(migra,271
109,(migra,272
840,(cups-,289
4077394,(kwork,292
1001,(polki,308
652,(Netwo,309
2869855,(code),356
2208549,(kwork,365
973,(xdg-d,368
3873773,(kwork,384
274,(usb-s,386
2869995,(code),397
1146,(pipew,423
2208677,(kwork,430
3112454,(bash),433
857522,(pytho,465
429919,(brave,503
696,(run-c,508
979646,(kwork,517
979712,(kwork,538
922,(syste,577
1516481,(kwork,593
4085124,(code),609
3450936,(kwork,651
1982434,(kwork,693
3289124,(kwork,704
1505030,(kwork,722
4082729,(code),740
2772501,(kwork,762
4188417,(code),833
1479709,(kwork,896
4033976,(kwork,945
1516480,(kwork,948
1479708,(kwork,949
3304648,(kwork,1047
3289133,(kwork,1136
981,(udisk,1148
969,(baloo,1186
221700,(kwork,1260
935,(kwall,1540
1713638,(klaun,1569
1078,(gmenu,1577
444518,(code),1598
1195,(kscre,1635
432261,(brave,1657
1470,(akona,1697
1469,(akona,1708
1502,(akona,1712
1082,(xembe,1717
1467,(akona,1726
1079,(polki,1733
1492,(akona,1741
1267,(kcloc,1746
1486,(akona,1752
3462399,(kwork,1769
1503,(akona,1788
3462326,(kwork,1795
1480,(akona,1806
1493,(akona,1811
1298,(Disco,1812
221958,(kwork,1814
945921,(baloo,1822
1494,(akona,1857
1504,(akona,1905
1268,(kdeco,1917
1500,(akona,1932
1468,(akona,1956
1501,(akona,1999
1506,(akona,2001
1048,(kglob,2015
125,(khuge,2023
220363,(kwork,2077
1,(syste,2080
1505,(akona,2128
1299,(kalen,2174
279,(jbd2/,2224
743,(nv_qu,2237
432142,(brave,2407
1076,(kacti,2456
1081,(xdg-d,2550
432672,(brave,2634
1290,(kacce,2645
1729767,(konqu,3035
4083401,(code),3043
39,(kwork,3197
1384,(akona,3200
1023,(ksmse,3717
643,(dbus-,3870
2893153,(konso,4137
1080,(org_k,5178
949,(dbus-,5221
4083407,(code),5242
2564134,(spoti,5244
1025,(kded5,6490
432092,(brave,8143
18,(rcu_p,8222
74,(ksoft,8224
152094,(code),8502
86,(ksoft,8585
2624870,(kio_h,9380
121,(kcomp,9473
38,(ksoft,9610
68,(ksoft,10752
44,(ksoft,11036
17,(ksoft,11048
32,(ksoft,11090
26,(ksoft,11153
50,(ksoft,11225
56,(ksoft,11526
445377,(code),11789
80,(ksoft,11938
110,(ksoft,11975
104,(ksoft,12006
62,(ksoft,12087
98,(ksoft,12342
92,(ksoft,12479
437693,(brave,15128
137,(kswap,24869
615,(nvidi,25585
449268,(brave,27889
4082745,(code),52522
445452,(code),73514
741,(irq/8,91580
4076867,(code),121004
444325,(code),167580
2564642,(spoti,186091
431209,(brave,209019
679269,(brave,212436
449253,(brave,268846
320,(syste,483871
1026,(kwin_,520970
212989,(brave,694970
444502,(code),741625
432467,(brave,846032
1322,(kmix),2876867
740,(Xorg),5125826
1319,(pulse,9552450
1058,(plasm,18013705
